5	header
postResults v2.0.2	--cr f,p --co totalshear geom_load.spectralOut
addCauchy v2.0.2	postProc/geom_load.txt
addStrainTensors v2.0.2	--logarithmic --left postProc/geom_load.txt
addMises v2.0.2	--stress Cauchy --strain ln(V) postProc/geom_load.txt
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	totalshear	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(ln(V))	Mises(Cauchy)
30	nan	nan	1	1	0.5	0.5	0.5	1.00118666667	2.34402306082e-22	7.07111210738e-20	3.31285835327e-22	0.999546884205	-5.03825371348e-20	2.58493941423e-22	1.59027411468e-21	0.999554358435	65611667.3354	72637.169512	8952.27411362	72518.2009275	-2127.37195624	25741.4274611	8937.66821246	25741.6289808	-2153.40104877	0.000560648045653	65670676.0782	72583.4217584	8945.71678533	72583.4211549	-2125.79781088	25722.5724765	8945.70642557	25722.581505	-2151.82373362	0.00118596313762	0.0	0.0	0.0	-0.000453218482983	0.0	0.0	0.0	-0.000445740892714	0.00109030376423	65672952.1609
31	nan	nan	1	1	0.5	0.5	0.5	1.001216	3.20325692211e-22	-4.34739246588e-20	5.85230283381e-22	0.999532606032	1.49024652362e-19	1.40310511404e-22	1.05562624887e-21	0.9995406631	65910926.3608	77180.7199582	9025.32124782	77050.9503347	-1668.55606094	27192.0923027	9010.210166	27192.3206469	-1708.22703977	0.000617305938897	65972050.5328	77122.4073554	9018.57501388	77122.405491	-1667.2954113	27171.7667973	9018.5660133	27171.7759436	-1706.95017672	0.0012152612708	0.0	0.0	0.0	-0.000467503230608	0.0	0.0	0.0	-0.00045944242751	0.00111916574295	65973891.5236
32	nan	nan	1	1	0.5	0.5	0.5	1.00124533333	-9.14448167177e-22	1.50091922148e-20	4.84107453497e-22	0.999518291918	2.80445763916e-20	5.48007155816e-23	-2.47199856446e-21	0.999526936828	66194786.2649	81486.5336779	9392.86890891	81345.974845	-1331.43304819	28194.3146664	9376.74082316	28194.5673584	-1374.78734443	0.000674603382971	66258032.4308	81423.7005522	9385.70737615	81423.6972959	-1330.4063988	28172.8180917	9385.69988081	28172.8269221	-1373.73914662	0.00124455854563	0.0	0.0	0.0	-0.00048182414061	0.0	0.0	0.0	-0.000473175101683	0.00114804963775	66259554.5536
33	nan	nan	1	1	0.5	0.5	0.5	1.00127466667	-3.0475401718e-21	-4.38939256148e-20	5.16987882846e-22	0.999503946756	6.13475399373e-20	1.83013710527e-22	-4.55262033794e-21	0.999513184307	66465366.3054	85553.4600736	10033.1276269	85402.1571225	-1074.64788141	28780.7230967	10015.4711154	28780.9973742	-1114.75520217	0.000732470398373	66530741.238	85486.1627633	10025.3281109	85486.1581682	-1073.80255135	28758.3496435	10025.3222723	28758.3579192	-1113.88861785	0.00127385497213	0.0	0.0	0.0	-0.000496176319114	0.0	0.0	0.0	-0.000486934226231	0.00117695225895	66532020.7561
34	nan	nan	1	1	0.5	0.5	0.5	1.001304	-1.77450920908e-21	7.81404437454e-20	1.82393325068e-22	0.999489574178	-2.6141027007e-20	1.12082973001e-22	-1.26490779061e-21	0.99949940917	66724286.8547	89385.4244136	10921.1516184	89223.4464981	-873.943254707	28986.3891182	10901.4649285	28986.6817405	-906.406761359	0.000790852970079	66791797.4078	89313.7272475	10912.4990043	89313.7213367	-873.242253899	28963.4237709	10912.4948542	28963.4311608	-905.688633069	0.00130315053039	0.0	0.0	0.0	-0.000510556133604	0.0	0.0	0.0	-0.00050071616742	0.00120587116977	66792887.529
35	nan	nan	1	1	0.5	0.5	0.5	1.00133333333	4.07386451682e-22	-8.95323751415e-20	2.97785020519e-23	0.999475176906	-1.28873808858e-19	-5.55244986176e-23	3.94864358925e-21	0.999485614278	66972805.1198	92989.9813596	12030.356184	92817.414503	-716.445383015	28847.2700496	12008.1546512	28847.5778175	-739.155977254	0.000849708923129	67042458.1345	92913.9534245	12020.6457805	92913.9464121	-715.85962246	28823.9857321	12020.6433646	28823.9922469	-738.559361268	0.00133244523045	0.0	0.0	0.0	-0.000524960861845	0.0	0.0	0.0	-0.000514518063721	0.00123480451478	67043400.3167
36	nan	nan	1	1	0.5	0.5	0.5	1.00136266667	6.38169842585e-22	4.2100804842e-20	2.62629844486e-23	0.999460757035	-2.7591746705e-20	5.89366186444e-23	-1.23236340338e-21	0.999471801919	67211911.6919	96377.1504181	13333.4875014	96194.0912209	-594.290185752	28399.2594489	13308.3091888	28399.5787176	-606.766960931	0.000909005010767	67283713.9256	96296.8630211	13322.5272062	96296.8550086	-593.795109773	28375.9148988	13322.5264057	28375.9203272	-606.268190822	0.00136173908234	0.0	0.0	0.0	-0.000539388408776	0.0	0.0	0.0	-0.000528337626747	0.00126375083897	67284542.5934
37	nan	nan	1	1	0.5	0.5	0.5	1.001392	5.22984942287e-22	1.46712889345e-20	-1.28626585252e-22	0.99944631622	-5.94235178325e-20	-1.53855593935e-22	-6.81475978826e-21	0.999457973946	67442399.9658	99558.5077289	14803.3658446	99365.0589169	-501.580052101	27677.5542016	14774.77632	27677.8816333	-504.730102948	0.000968714724763	67516358.0409	99474.0324462	14790.9777279	99474.0237297	-501.154461987	27654.3923899	14790.9785017	27654.3969816	-504.307722289	0.00139103206614	0.0	0.0	0.0	-0.000553837119468	0.0	0.0	0.0	-0.000542173003224	0.00129270895933	67517102.4583
38	nan	nan	1	1	0.5	0.5	0.5	1.00142133333	6.87593884185e-22	3.38076988157e-20	-3.73472046568e-22	0.999431855823	2.15642573573e-19	-4.10488378979e-22	-6.86209002894e-21	0.999444131866	67664916.1409	102546.590397	16413.5971848	102342.856536	-432.64758407	26716.4255982	16381.1923296	26716.7573082	-427.90964651	0.00102881666161	67741036.5064	102457.997515	16399.6184513	102457.988219	-432.273807663	26693.6724022	16399.6205257	26693.6759507	-427.545214823	0.00142032419188	0.0	0.0	0.0	-0.000568305632059	0.0	0.0	0.0	-0.000556022685967	0.00132167792589	67741720.5982
39	nan	nan	1	1	0.5	0.5	0.5	1.00145066667	2.1742442401e-21	-1.84833507875e-20	-4.00769006782e-22	0.99941737701	1.4339754945e-19	-2.69764277269e-22	-8.98937884457e-21	0.999430276898	67879996.6339	105354.396465	18139.2843294	105140.481257	-382.51973275	25548.9415034	18102.6923127	25549.2742113	-371.671032883	0.00108929319717	67958285.541	105261.753797	18123.567599	105261.744277	-382.183366638	25526.804697	18123.570923	25526.8076317	-371.348999592	0.00144961546961	0.0	0.0	0.0	-0.000582792780727	0.0	0.0	0.0	-0.000569885455874	0.00135065694987	67958928.5005
